Journey,Step,Story,Acceptance Criteria,Epic,Priority,Story Points,MoSCoW,Reach,Impact,Confidence,Effort,RICE Score,Business Value
Async Communication Journey,Preview Previous Interactions,As a receiver I want to preview questions I've been asked before so that I can review and update answers,"- View previous interactions
- Filter by question/node type
- Review previous answers
- Edit/delete/update answers
- Interaction history searchable
- Load previous interactions <1 second",Epic 13: Async Communication,P1,3,Should Have,500,1,80%,1.5,266.67,6
Async Communication Journey,Validate Others Inputs,As a stakeholder I want to validate or invalidate others inputs so that we have quality data,"- Validate inputs from people
- Validate inputs from AI
- Validation workflow
- Quality scoring
- Validation notifications",Epic 13: Async Communication,P1,3,Should Have,400,1,80%,1.5,213.33,6
Async Communication Journey,Async Surveying,As a user I want to create surveys based on data elements so that I can gather structured responses,"- Data element-based surveying
- Not just rich text results
- Structured data capture
- Survey templates
- Response analytics",Epic 13: Async Communication,P1,3,Should Have,450,1,80%,1.5,240.00,6
Notification Journey,Attached Parties Notifications,As a user I receive notifications about interactions I'm attached to so that I stay informed,"- CC in interaction notifications
- Looped in interaction
- Following in interaction
- Watching in interaction
- Involved in interaction
- Pending notifications
- Multiple channel preferences (Email, Slack, WhatsApp)
- Escalation to other channels if missed",Epic 14: Notifications,P0,3,Must Have,800,2,100%,1.5,1066.67,8
Notification Journey,Async Communication Notifications,As a receiver I want to get notifications regarding new question threads so that I can respond promptly,"- Email notifications
- Slack notifications
- WhatsApp notifications
- Clickable link to Scratchup
- Notification preferences
- Notification batching options",Epic 14: Notifications,P0,2,Must Have,900,2,100%,1,1800.00,9
Notification Journey,Session Participation Invitation,As a user I can be invited to async communication sessions so that I know when my input is needed,"- Session invitation notifications
- Session details in notification
- Accept/decline invitations
- Calendar integration
- Invitation reminders",Epic 14: Notifications,P0,2,Must Have,700,2,100%,1,1400.00,8
Timelining Journey,Arrange Nodes Chronologically,As a user I can arrange context nodes chronologically so that I can understand temporal sequence,"- Chronological node arrangement
- Define chronological parameters
- Time-based node ordering
- Automatic time stamping
- Manual time adjustment",Epic 17: Timelining Information,P0,3,Must Have,700,2,100%,1.5,933.33,8
Timelining Journey,Time-Based Filtering,As a user I can customize VizViews according to timelining filtering so that I can focus on specific time periods,"- Hide/show by date/time ranges
- Like Mixpanel time filtering
- Time range selection
- Date-based node filtering
- Temporal visualization",Epic 17: Timelining Information,P1,3,Should Have,600,1,80%,1.5,320.00,6
Timelining Journey,Time Dimension Management,As a user I can define time dimensions with start end and events so that I can track temporal aspects,"- Define time dimension
- Set start and end times
- Create time events
- Event markers on timeline
- Time dimension visualization",Epic 17: Timelining Information,P0,3,Must Have,700,2,100%,1.5,933.33,8
Multi-Dimensional Context Journey,Space as Scope,As a user I can use spaces as scopes not containers so that I eliminate data duplication,"- Space = scope to see information from angle
- Not a container paradigm
- Cross-project node sharing
- Contextual enrichment per space
- No data duplication
- Same node, different variations per space",Epic 9: Cord (Dimensions),P0,5,Must Have,700,3,80%,2.5,672.00,9
Multi-Dimensional Context Journey,Parties Dimension,As a user I can track stakeholder and participant dimensions so that I understand who is involved,"- Define parties dimension
- Track stakeholders
- Track participants
- Party-based filtering
- Party relationship visualization",Epic 9: Cord (Dimensions),P0,3,Must Have,700,2,100%,1.5,933.33,8
Multi-Dimensional Context Journey,Process Lifecycle Dimension,As a user I can track process lifecycle stages so that I understand information maturity,"- Track emergence phase
- Track growth phase
- Track maturity phase
- Track decline phase
- Lifecycle automation
- Philosophical lifecycle perspective",Epic 9: Cord (Dimensions),P0,3,Must Have,700,3,100%,1.5,1400.00,9
Multi-Dimensional Context Journey,Missions Dimension,As a user I can track goal-oriented dimensions so that I align information with objectives,"- Define missions/goals dimension
- Track goal progress
- Goal-based filtering
- Mission completion tracking
- Goal visualization",Epic 9: Cord (Dimensions),P0,3,Must Have,700,2,100%,1.5,933.33,8
Multi-Dimensional Context Journey,Temporary Visible Context,As a user I can operate on temporary contexts for iterations so that I can experiment without permanent changes,"- Create temporary contexts
- Data elements in temp context
- Formulas in temp context
- Session-based temp contexts
- Automatic temp context cleanup",Epic 5: Contexts & Emergent Architecture,P1,3,Should Have,500,1,80%,1.5,266.67,6
User & Group Management Journey,Create Single User,As an admin I can create individual user accounts so that team members can access the system,"- Single user creation
- User profile setup
- Email verification
- Initial permissions assigned
- User activation workflow",Epic 10: User System,P0,2,Must Have,800,2,100%,1,1600.00,9
User & Group Management Journey,Create User Groups,As an admin I can create user groups so that I can manage permissions efficiently,"- Group creation
- Add users to groups
- Groups of groups
- Nested group structures
- Group-based permissions",Epic 10: User System,P0,3,Must Have,800,3,100%,1.5,1600.00,9
User & Group Management Journey,Org Chart Management,As an admin I can create org chart with exceptions so that I match organizational structure,"- Group of people
- Group of groups
- Groups with people exceptions
- Nested groups with exceptions
- Org chart visualization",Epic 10: User System,P0,3,Must Have,700,2,100%,1.5,933.33,9
User & Group Management Journey,Import Address Book,As a user I want to automatically import organization address book so that onboarding is faster,"- Import address book
- Bulk user import
- Map organizational structure
- Import validation
- Import progress tracking",Epic 10: User System,P1,3,Should Have,500,1,80%,1.5,266.67,6
User & Group Management Journey,Deactivate User,As an admin I can deactivate user accounts so that I can manage team changes,"- User deactivation
- Exclude from pending interactions
- Finalize hold cards
- Access revocation
- Data ownership transfer",Epic 10: User System,P0,2,Must Have,700,2,100%,1,1400.00,8
Essential Types Journey,Create Node Type,As a professional user I can create custom node types so that I can define information patterns,"- Define new node type
- Node type properties
- Node type behaviors
- Node type validation rules
- Node type templates",Epic 20: Essential Types,P0,3,Must Have,700,3,100%,1.5,1400.00,9
Essential Types Journey,Create Context Type,As a professional user I can create custom context types so that I can define organizational patterns,"- Define new context type
- Pattern affects nodes structure
- Pattern affects attributes
- Pattern affects visualization
- Context type templates",Epic 20: Essential Types,P0,3,Must Have,700,3,100%,1.5,1400.00,9
Essential Types Journey,Create Attribute Types,As a professional user I can create custom attribute types so that I can define relationship patterns,"- Define new attribute type
- Attribute type properties
- Attribute type validation
- Attribute type behaviors
- Attribute type templates",Epic 20: Essential Types,P0,3,Must Have,700,3,100%,1.5,1400.00,9
Essential Types Journey,Define Types Behaviors,As a professional user I can define behaviors for types so that I can automate type-specific actions,"- Behavior rules for types
- Lifecycle automation
- Validation rules
- Default values
- Type-specific workflows",Epic 20: Essential Types,P0,3,Must Have,700,3,100%,1.5,1400.00,9
Contextual Thread Journey,Create Symbiotic Thread,As a user I can create symbiotic threads for focal nodes so that I can have threaded discussions,"- Create thread on focal node
- Sequence of symbiote nodes
- Thread visualization
- Thread navigation
- 2D thread view",Epic 18: Contextual Thread,P1,3,Should Have,500,1,80%,1.5,266.67,6
Contextual Thread Journey,Multi-Dimensional Threads,As a user I can create another dimension symbiotic thread so that I can have parallel discussions,"- Node thread (on node itself)
- Version-specific threads
- Level 2+ symbiote nodes (unlimited depth)
- XD visualization mode for threads
- Thread dimension management",Epic 18: Contextual Thread,P1,4,Should Have,400,1,80%,2,160.00,6
Contextual Thread Journey,Connect and Branch Threads,As a user I can connect and branch symbiotic threads so that I can create discussion networks,"- Connect threads
- Branch threads
- Thread relationship visualization
- Navigate connected threads
- Thread merge capability",Epic 18: Contextual Thread,P1,3,Should Have,400,1,80%,1.5,213.33,6
Application Modes Journey,Scoped View Mode,As an active user I want to preview data dimensions in scoped mode so that I can manage information with optimum usability,"- Nodes only scope
- Contexts only scope
- Nodes with contexts scope
- Iterations orchestration automation
- Time travel foundation
- Time multiplication foundation
- Mode switches in <500ms",Epic 2: Application Modes,P0,5,Must Have,900,3,80%,2.5,864.00,9
Application Modes Journey,Full View Mode,As a user I want complete visualization of all data layers so that I can see the full picture,"- All data layers visible
- Complete context visualization
- All relationships shown
- Performance maintained with large data
- Toggle to/from other modes",Epic 2: Application Modes,P0,3,Must Have,900,3,100%,1.5,1800.00,9
Application Modes Journey,Edit Mode,As a user I want to enable editing capabilities so that I can modify nodes and contexts,"- Edit nodes
- Edit contexts
- Edit relationships
- Edit attributes
- Permission-aware editing
- Change tracking",Epic 2: Application Modes,P0,3,Must Have,900,3,100%,1.5,1800.00,9
Application Modes Journey,Configure Mode,As a user I want to configure structural and behavioral aspects so that I can customize the system,"- Configure contexts
- Configure behaviors
- Configure automations
- Configure visualizations
- Admin-level mode",Epic 2: Application Modes,P0,3,Must Have,700,2,100%,1.5,933.33,9
Application Modes Journey,Setup Mode,As an activated user I want to set contextual spaces and contexts structure so that I save time at utilization,"- Manual setup
- Automatic (template-based)
- Semi-automatic (customize templates)
- Create trees and hierarchies
- Structure contexts and spaces
- Setup Mode for editors and above",Epic 2: Application Modes,P0,4,Must Have,800,3,100%,2,1200.00,9
Application Modes Journey,Utilization View Mode,As a member user I need to use existing templates without setup bothering so that I can focus on my work,"- CRUD operations per privileges
- Cannot edit structural information
- Use existing templates
- Maintain visualization and clarity
- Member-user focused mode",Epic 2: Application Modes,P0,3,Must Have,850,2,100%,1.5,1133.33,8
Application Modes Journey,View Display Mode,As an active user I want to view structured context in dedicated display so that I focus without distraction,"- Dedicated view for structured contexts
- Focus on specific practice
- Hide utility details
- Display mode specific to context type
- Clean presentation layer",Epic 2: Application Modes,P1,3,Should Have,600,1,80%,1.5,320.00,6
Application Modes Journey,Display Mode Annotate,As a user I want to annotate in display mode without overriding data so that I can add notes non-destructively,"- Write annotations
- Draw annotations
- Highlight data
- Annotations don't override original
- Layered annotation system
- Annotation persistence",Epic 2: Application Modes,P1,3,Should Have,500,1,80%,1.5,266.67,6
Syntax Anatomy Journey,Create Anatomy Template,As a user I can define new syntax anatomy structures so that I can break down complex syntax,"- Define anatomy template
- Structure with clauses
- Hierarchy definition
- Clause relationships
- Template reusability",Epic 8: Syntax Anatomy,P1,3,Should Have,300,1,80%,1.5,160.00,5
Syntax Anatomy Journey,Apply Anatomy Template,As a user I can apply existing anatomy templates so that I can quickly structure syntax,"- Apply pre-built templates
- Customize anatomy structure
- Connect to clauses
- Visualize anatomy
- Navigate semantic tree",Epic 8: Syntax Anatomy,P1,3,Should Have,300,1,80%,1.5,160.00,5
Syntax Anatomy Journey,Clause-Based Composition,As a stakeholder I want to define syntax structure composed of clauses so that I build quality iteratively,"- Break complex syntax into clauses
- Solve each clause independently
- Iterate on clause quality
- Clause-level versioning
- Clause visualization",Epic 8: Syntax Anatomy,P1,4,Should Have,300,1,80%,2,120.00,5
Analytics Journey,Node-Based Analytics,As a user I can view node-based analytics so that I understand information patterns,"- Analytics built on node architecture
- Node activity metrics
- Relationship analytics
- Usage patterns
- Trend visualization",Epic 21: Node Based Analytics,P1,4,Should Have,500,2,80%,2,400.00,6
Analytics Journey,Activity Heatmaps,As a user I can view activity heatmaps so that I understand work intensity over time,"- Heatmap visualization
- Time-based activity clustering
- User activity heatmaps
- Node activity heatmaps
- Interactive heatmap exploration",Epic 9: Activity Logs & Audit Trail,P1,3,Should Have,400,1,80%,1.5,213.33,6
Analytics Journey,Change Velocity Metrics,As a user I can see change velocity metrics so that I understand team productivity,"- Change rate over time
- Velocity by user
- Velocity by context
- Trend analysis
- Velocity dashboards",Epic 9: Activity Logs & Audit Trail,P1,3,Should Have,400,1,80%,1.5,213.33,6
